"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
-2.564293384552002,-8.11314582824707,-1.653932332992554,2.0,4.0,19754.0,8.668000000000001,740373181.0,740373181.0
-2.577016592025757,-8.14350700378418,-1.352845311164856,44.0,6.0,19756.0,8.648,740373186.0,740373186.0
-19.2901782989502,-60.92100143432617,7.846191883087158,21.0,7.0,19757.0,64.382,740373188.0,740373188.0
-2.593746900558472,-8.186439514160156,-1.054413557052612,3.0,8.0,19758.0,8.652000000000001,740373190.0,740373190.0
-2.63361644744873,-8.307241439819336,-0.7624384164810181,2.0,10.0,19759.0,8.748,740373195.0,740373195.0
-8.053958892822266,-25.37392807006836,-1.395171880722046,10.0,12.0,19761.0,26.658,740373200.0,740373200.0
-16.3385009765625,-51.41206741333008,-0.9416271448135376,11.0,14.0,19763.0,53.954,740373204.0,740373204.0
-1.91462230682373,-5.995691299438477,-1.686464905738831,24.0,0.0,19771.0,6.516,740373227.0,740373227.0
-20.81786918640137,-65.15248107910156,1.193884253501892,26.0,1.0,19772.0,68.408,740373230.0,740373230.0
-2.240286588668823,-7.007076263427734,-1.698380470275879,14.0,2.0,19773.0,7.55,740373232.0,740373232.0
-2.698479413986206,-8.435117721557617,-1.721478700637817,14.0,4.0,19774.0,9.022,740373236.0,740373236.0
-2.604824304580688,-8.132579803466797,-1.352532386779785,38.0,6.0,19776.0,8.646,740373241.0,740373241.0
-19.5245246887207,-60.92134857177734,7.854966640472412,21.0,7.0,19777.0,64.45400000000001,740373243.0,740373243.0
-2.720507144927979,-8.483560562133789,-1.093899250030518,5.0,8.0,19778.0,8.976,740373246.0,740373246.0
-2.656510829925537,-8.27902603149414,-0.7606953382492065,2.0,10.0,19779.0,8.728,740373250.0,740373250.0
-8.162029266357422,-25.40650939941406,-1.398521423339844,5.0,12.0,19781.0,26.722,740373255.0,740373255.0
-16.61950492858887,-51.67073059082031,-0.9474213123321533,11.0,14.0,19783.0,54.286,740373259.0,740373259.0
-1.939103960990906,-6.000000953674316,-1.689570784568787,25.0,0.0,19791.0,6.528,740373283.0,740373283.0
-20.82981872558594,-64.4134750366211,1.181667566299438,25.0,1.0,19792.0,67.708,740373285.0,740373285.0
-2.264132261276245,-6.997359752655029,-1.697930574417114,14.0,2.0,19793.0,7.548,740373287.0,740373287.0
-20.98992347717285,-64.83126831054688,3.571300983428955,41.0,3.0,19794.0,68.238,740373289.0,740373289.0
-2.734559059143066,-8.446192741394043,-1.725676536560059,10.0,4.0,19794.0,9.044,740373292.0,740373292.0
-2.636242151260376,-8.132833480834961,-1.35409677028656,37.0,6.0,19796.0,8.656,740373296.0,740373296.0
-19.75053405761719,-60.89436340332031,7.860328674316406,21.0,7.0,19797.0,64.498,740373299.0,740373299.0
-2.750103712081909,-8.47401237487793,-1.093899250030518,4.0,8.0,19798.0,8.976,740373301.0,740373301.0
-2.685393810272217,-8.269702911376953,-0.7606953382492065,2.0,10.0,19799.0,8.728,740373306.0,740373306.0
-8.328472137451172,-25.6171875,-1.411710143089294,5.0,12.0,19801.0,26.974,740373310.0,740373310.0
-16.88889503479004,-51.8862190246582,-0.9524476528167725,11.0,14.0,19803.0,54.574,740373315.0,740373315.0
-1.964239597320557,-6.006048679351807,-1.693194150924683,26.0,0.0,19811.0,6.542,740373338.0,740373338.0
-20.87044715881348,-63.77781677246094,1.171335697174072,25.0,1.0,19812.0,67.116,740373340.0,740373340.0
-2.292182207107544,-7.00052547454834,-1.700629949569702,14.0,2.0,19813.0,7.56,740373342.0,740373342.0
-21.03328132629395,-64.19960021972656,3.54052734375,40.0,3.0,19814.0,67.65,740373345.0,740373345.0
-2.770137310028076,-8.455252647399902,-1.729492783546448,14.0,4.0,19814.0,9.064,740373347.0,740373347.0
-19.90973854064941,-60.66284561157227,7.839367389678955,21.0,7.0,19817.0,64.32600000000001,740373354.0,740373354.0
-2.759227991104126,-8.40212345123291,-1.085855841636658,4.0,8.0,19818.0,8.91,740373356.0,740373356.0
-2.72917103767395,-8.305706977844238,-0.7648788094520569,2.0,10.0,19819.0,8.776,740373361.0,740373361.0
-8.425332069396973,-25.61072731018066,-1.412966132164001,10.0,12.0,19821.0,26.998,740373365.0,740373365.0
-17.16374397277832,-52.11184692382812,-0.9576833248138428,11.0,14.0,19823.0,54.874,740373370.0,740373370.0
-1.988227128982544,-6.008325576782227,-1.695782423019409,24.0,0.0,19831.0,6.552,740373393.0,740373393.0
-20.88426780700684,-63.07432556152344,1.159747362136841,24.0,1.0,19832.0,66.452,740373395.0,740373395.0
-2.320894718170166,-7.005430698394775,-1.703779339790344,14.0,2.0,19833.0,7.574,740373398.0,740373398.0
-21.03878211975098,-63.50384140014648,3.505985736846924,39.0,3.0,19833.0,66.99,740373400.0,740373400.0
-2.802105903625488,-8.452984809875488,-1.731019258499146,14.0,4.0,19834.0,9.072000000000001,740373402.0,740373402.0
-21.4242057800293,-64.59168243408203,5.95378303527832,45.0,5.0,19835.0,68.312,740373405.0,740373405.0
-2.697932958602905,-8.129229545593262,-1.356599688529968,4.0,6.0,19836.0,8.672,740373407.0,740373407.0
-20.12637519836426,-60.60805130004883,7.841317176818848,21.0,7.0,19837.0,64.342,740373409.0,740373409.0
-2.779777050018311,-8.366066932678223,-1.082443475723267,6.0,8.0,19838.0,8.882,740373411.0,740373411.0
-2.754375457763672,-8.284785270690918,-0.7638329267501831,2.0,10.0,19839.0,8.764,740373416.0,740373416.0
-8.560093879699707,-25.71760368347168,-1.420502543449402,10.0,12.0,19841.0,27.142,740373421.0,740373421.0
-17.47198295593262,-52.4310417175293,-0.9646643400192261,11.0,14.0,19843.0,55.274,740373425.0,740373425.0
-2.010414600372314,-6.005012989044189,-1.696817636489868,25.0,0.0,19851.0,6.556,740373448.0,740373448.0
-20.90359497070312,-62.40186309814453,1.148717403411865,23.0,1.0,19852.0,65.82000000000001,740373451.0,740373451.0
-2.349049806594849,-7.008372783660889,-1.706478714942932,15.0,2.0,19853.0,7.586,740373453.0,740373453.0
-21.05928230285645,-62.79383850097656,3.471025228500366,37.0,3.0,19854.0,66.322,740373455.0,740373455.0
-2.836589097976685,-8.458043098449707,-1.734072208404541,13.0,4.0,19854.0,9.088000000000001,740373458.0,740373458.0
-21.47587013244629,-63.99895095825195,5.906021595001221,44.0,5.0,19855.0,67.764,740373460.0,740373460.0
-2.726292848587036,-8.119762420654297,-1.356599688529968,1.0,6.0,19856.0,8.672,740373462.0,740373462.0
-19.40471839904785,-57.75997924804688,7.481558799743652,20.0,7.0,19857.0,61.39,740373464.0,740373464.0
-2.799475431442261,-8.328088760375977,-1.078787446022034,6.0,8.0,19858.0,8.852,740373467.0,740373467.0
-2.803603172302246,-8.335550308227539,-0.7694109082221985,2.0,10.0,19859.0,8.828,740373471.0,740373471.0
-8.688055038452148,-25.8011360168457,-1.426782846450806,10.0,12.0,19861.0,27.262,740373476.0,740373476.0
-17.8273754119873,-52.88136291503906,-0.9740886092185974,12.0,14.0,19863.0,55.814,740373481.0,740373481.0
-2.030124425888062,-5.994298934936523,-1.695782423019409,25.0,0.0,19871.0,6.552,740373504.0,740373504.0
-20.91848564147949,-61.73004150390625,1.13768744468689,22.0,1.0,19872.0,65.188,740373506.0,740373506.0
-2.37850546836853,-7.014894962310791,-1.710077881813049,15.0,2.0,19873.0,7.602,740373508.0,740373508.0
-21.06473541259766,-62.12594985961914,3.437948942184448,36.0,3.0,19873.0,65.69,740373511.0,740373511.0
-2.871141910552979,-8.462964057922363,-1.737125039100647,13.0,4.0,19874.0,9.104000000000001,740373513.0,740373513.0
-2.79019570350647,-8.214941024780273,-1.374120354652405,4.0,6.0,19876.0,8.784,740373517.0,740373517.0
-19.63687896728516,-57.78210830688477,7.493258476257324,40.0,7.0,19877.0,61.486,740373520.0,740373520.0
-2.766539096832275,-8.135963439941406,-1.055144786834717,5.0,8.0,19878.0,8.658,740373522.0,740373522.0
-2.832682609558105,-8.325713157653809,-0.7694109082221985,2.0,10.0,19879.0,8.828,740373527.0,740373527.0
-8.821855545043945,-25.89921188354492,-1.433900475502014,10.0,12.0,19881.0,27.398,740373531.0,740373531.0
-2.056670665740967,-6.003624439239502,-1.700441122055054,26.0,0.0,19891.0,6.57,740373559.0,740373559.0
-20.9289436340332,-61.05888366699219,1.126657605171204,21.0,1.0,19892.0,64.556,740373561.0,740373561.0
-2.404874086380005,-7.01207971572876,-1.711427569389343,15.0,2.0,19893.0,7.608000000000001,740373563.0,740373563.0
-21.07801628112793,-61.45882034301758,3.405081987380981,35.0,3.0,19893.0,65.062,740373566.0,740373566.0
-2.907675266265869,-8.47331714630127,-1.741322875022888,12.0,4.0,19894.0,9.126,740373568.0,740373568.0
-2.837466955184937,-8.259329795837402,-1.383193492889404,6.0,6.0,19896.0,8.842,740373573.0,740373573.0
-19.85652542114258,-57.76577758789062,7.500082969665527,20.0,7.0,19897.0,61.542,740373575.0,740373575.0
-2.796858787536621,-8.131888389587402,-1.055876016616821,3.0,8.0,19898.0,8.664,740373577.0,740373577.0
-2.844870805740356,-8.266791343688965,-0.7648788094520569,2.0,10.0,19899.0,8.776,740373582.0,740373582.0
-8.955144882202148,-25.99289131164551,-1.440808892250061,5.0,12.0,19901.0,27.53,740373587.0,740373587.0
-18.49213981628418,-53.61386108398438,-0.9899353981018066,12.0,14.0,19903.0,56.722,740373591.0,740373591.0
-2.079728841781616,-6.005898475646973,-1.703029274940491,25.0,0.0,19910.0,6.58,740373614.0,740373614.0
-20.94145393371582,-60.44118881225586,1.116535186767578,21.0,1.0,19911.0,63.976,740373616.0,740373616.0
-2.431305170059204,-7.013272285461426,-1.713677167892456,15.0,2.0,19912.0,7.618,740373619.0,740373619.0
-21.10129737854004,-60.8338737487793,3.374517679214478,34.0,3.0,19913.0,64.478,740373621.0,740373621.0
-2.941548109054565,-8.480321884155273,-1.744757413864136,14.0,4.0,19913.0,9.144,740373623.0,740373623.0
